H,K,L,FreeR_flag,IMEAN,SIGIMEAN,I(+),SIGI(+),I(-),SIGI(-),F,SIGF,DANO,SIGDANO,F(+),SIGF(+),F(-),SIGF(-),ISYM
14,1,9,6,,,,,,,,,,,,,,,
14,1,10,2,,,,,,,,,,,,,,,
14,1,11,3,,,,,,,,,,,,,,,
14,1,12,17,,,,,,,,,,,,,,,
14,1,13,11,,,,,,,,,,,,,,,
14,2,0,4,2291.495,512.4061,2291.495,512.4061,2291.495,512.4061,447.1983,41.65341,-0,0,447.1983,58.90681,447.1983,58.90681,0
14,2,1,19,1077.432,197.0443,787.4589,299.3837,1299.041,261.7233,298.9295,35.54996,-94.97321,71.09992,251.4429,60.23441,346.4161,37.77585,0
14,2,2,18,69.54081,41.15597,222.0775,176.9527,60.81757,42.31642,109.484,27.83622,64.94344,55.67244,141.9558,50.00329,77.01232,24.47634,0
14,2,3,17,162.3495,58.07544,105.0003,83.76364,215.4359,80.59039,121.5413,22.69748,-39.30272,45.39497,101.8899,34.50404,141.1927,29.49872,0
14,2,4,7,47.87126,31.18553,40.24685,33.44847,98.56792,86.25069,82.40491,20.59513,-35.52779,41.19027,64.64101,21.8037,100.1688,34.9462,0
14,2,5,5,84.9744,65.28592,181.4618,99.89895,13.04614,86.25326,103.7541,24.61069,51.93987,49.22137,129.724,36.80054,77.78416,32.68737,0
